MEMBERSHIP_TERM_YEARS,ANNUAL_FEES,MEMBER_MARITAL_STATUS,MEMBER_GENDER,MEMBER_ANNUAL_INCOME,MEMBER_OCCUPATION_CD,MEMBERSHIP_PACKAGE,MEMBER_AGE_AT_ISSUE,ADDITIONAL_MEMBERS,PAYMENT_MODE,AGENT_PERFORMANCE,INCOME_TO_FEE_RATIO,DAYS_STAY,START_YEAR,START_MONTH,START_DAY,START_YEAR_AGE_COMBINED,TARGET
30.0,100000.0,S,M,549996.0,6.0,TYPE-B,65.0,0.0,ANNUAL,0,0.1818195041418483,1329,2010,5,13,130650.0,0
31.0,300000.0,S,M,549996.0,6.0,TYPE-B,64.0,0.0,SEMI-ANNUAL,3,0.5454585124255449,1416,2010,2,15,128640.0,1
57.0,118207.81,M,M,900000.0,1.0,TYPE-A,48.0,1.0,ANNUAL,1,0.1313420111111111,530,2012,7,20,96576.0,0
64.0,200000.23,M,F,499992.0,2.0,TYPE-A,40.0,1.0,ANNUAL,0,0.4000068601097618,736,2011,12,27,80440.0,1
22.0,143500.29,M,F,360000.0,1.0,TYPE-A,34.0,1.0,ANNUAL,3,0.3986119166666667,49,2013,11,13,68442.0,0
31.0,100000.0,M,M,800004.0,1.0,TYPE-B,63.0,3.0,ANNUAL,2,0.12499937500312498,1212,2010,9,7,126630.0,0
17.0,120028.32,M,M,499992.0,2.0,TYPE-A,66.0,3.0,MONTHLY,3,0.2400604809676955,113,2013,9,10,132858.0,0
17.0,187646.23,Unknown,M,549996.0,6.0,TYPE-A,73.0,2.0,ANNUAL,3,0.34117744492687224,277,2013,3,30,146949.0,0
17.0,299962.8,M,M,499992.0,2.0,TYPE-A,39.0,3.0,MONTHLY,1,0.5999351989631834,642,2012,3,30,78468.0,0
76.0,110099.57,Unknown,F,399996.0,1.0,TYPE-A,59.0,0.0,ANNUAL,0,0.2752516775167752,154,2013,7,31,118767.0,0
43.0,100000.0,M,M,1200000.0,1.0,TYPE-B,42.0,1.0,ANNUAL,0,0.08333333333333333,1814,2009,1,13,84378.0,0
35.0,100000.0,M,M,500004.0,1.0,TYPE-B,49.0,2.0,ANNUAL,0,0.1999984000127999,1934,2008,9,15,98392.0,1
12.0,500000.0,M,M,1200000.0,1.0,TYPE-B,35.0,3.0,ANNUAL,1,0.4166666666666667,1219,2010,8,31,70350.0,0
64.0,100000.02,Unknown,Unknown,549996.0,1.0,TYPE-B,44.0,0.0,ANNUAL,1,0.18181954050574914,2315,2007,8,31,88308.0,0
34.0,200000.0,M,M,549996.0,6.0,TYPE-B,60.0,3.0,ANNUAL,1,0.3636390082836966,1212,2010,9,7,120600.0,0
59.0,211000.0,Unknown,M,169992.0,6.0,TYPE-A,47.0,3.0,ANNUAL,3,1.241234881641489,215,2013,5,31,94611.0,0
17.0,499999.93,M,M,150000.0,1.0,TYPE-A,64.0,1.0,ANNUAL,2,3.333332866666667,861,2011,8,24,128704.0,1
17.0,100000.0,M,M,579996.0,1.0,TYPE-B,38.0,3.0,SEMI-ANNUAL,1,0.17241498217229084,733,2011,12,30,76418.0,0
22.0,103090.24,Unknown,M,2499996.0,2.0,TYPE-A,57.0,0.0,SEMI-ANNUAL,3,0.04123616197785917,138,2013,8,16,114741.0,0
101.0,113369.66,Unknown,M,549996.0,1.0,TYPE-A,59.0,0.0,SEMI-ANNUAL,0,0.20612815365929935,987,2011,4,20,118649.0,0
22.0,154635.15,M,F,309996.0,2.0,TYPE-A,47.0,2.0,ANNUAL,3,0.4988295010258197,85,2013,10,8,94611.0,0
17.0,123602.4,M,M,2449992.0,1.0,TYPE-A,60.0,2.0,MONTHLY,2,0.050450123918771975,175,2013,7,10,120780.0,0
96.0,101550.0,Unknown,F,549996.0,1.0,TYPE-A,41.0,0.0,ANNUAL,1,0.18463770645604696,1090,2011,1,7,82451.0,0
12.0,200000.0,S,M,3999996.0,1.0,TYPE-B,35.0,0.0,ANNUAL,1,0.05000005000005,1007,2011,3,31,70385.0,0
17.0,190067.64,S,F,499992.0,1.0,TYPE-A,23.0,0.0,MONTHLY,3,0.38014136226179623,307,2013,2,28,46299.0,0
17.0,123713.64,M,M,300000.0,1.0,TYPE-A,64.0,2.0,MONTHLY,3,0.4123788,276,2013,3,31,128832.0,1
22.0,100000.0,M,M,500004.0,5.0,TYPE-B,35.0,3.0,SEMI-ANNUAL,0,0.1999984000127999,1447,2010,1,15,70350.0,0
17.0,120000.84,Unknown,M,849996.0,5.0,TYPE-A,57.0,2.0,MONTHLY,2,0.14117812319116796,187,2013,6,28,114741.0,0
17.0,103090.01,M,M,399996.0,2.0,TYPE-A,44.0,2.0,ANNUAL,0,0.25772760227602276,277,2013,3,30,88572.0,0
12.0,100002.72,M,M,240000.0,1.0,TYPE-B,49.0,1.0,MONTHLY,1,0.416678,1084,2011,1,13,98539.0,0
53.0,220605.0,M,M,300000.0,1.0,TYPE-B,41.0,2.0,ANNUAL,3,0.73535,1372,2010,3,31,82410.0,1
12.0,200000.0,M,M,199992.0,2.0,TYPE-B,36.0,3.0,SEMI-ANNUAL,0,1.000040001600064,343,2013,1,23,72468.0,0
12.0,390000.0,Unknown,M,2199996.0,1.0,TYPE-B,42.0,1.0,SEMI-ANNUAL,3,0.1772730495873629,429,2012,10,29,84504.0,0
12.0,100000.0,M,M,349992.0,1.0,TYPE-B,44.0,1.0,SEMI-ANNUAL,1,0.28572081647580516,1748,2009,3,20,88396.0,0
17.0,257395.92,M,M,3699996.0,1.0,TYPE-A,57.0,1.0,MONTHLY,2,0.06956654007193522,93,2013,9,30,114741.0,0
45.0,100000.0,M,M,450000.0,1.0,TYPE-B,49.0,2.0,ANNUAL,2,0.2222222222222222,1274,2010,7,7,98490.0,1
12.0,100000.0,M,F,4200000.0,2.0,TYPE-B,65.0,1.0,SEMI-ANNUAL,1,0.023809523809523808,187,2013,6,28,130845.0,0
27.0,104005.65,M,F,349992.0,2.0,TYPE-A,44.0,3.0,ANNUAL,2,0.29716579236096824,276,2013,3,31,88572.0,0
43.0,120000.96,M,F,549996.0,4.0,TYPE-B,42.0,2.0,MONTHLY,3,0.21818515043745773,1980,2008,7,31,84336.0,0
17.0,100000.0,M,M,450000.0,1.0,TYPE-B,37.0,1.0,ANNUAL,3,0.2222222222222222,1836,2008,12,22,74296.0,1
44.0,125000.0,M,M,404340.0,1.0,TYPE-B,50.0,1.0,ANNUAL,0,0.30914576841272196,1227,2010,8,23,100500.0,0
12.0,200000.0,Unknown,M,549996.0,6.0,TYPE-B,63.0,0.0,ANNUAL,1,0.3636390082836966,827,2011,9,27,126693.0,0
39.0,100000.0,M,F,249996.0,1.0,TYPE-B,40.0,1.0,SEMI-ANNUAL,1,0.4000064001024016,1528,2009,10,26,80360.0,0
12.0,100000.0,S,M,525000.0,1.0,TYPE-B,28.0,0.0,ANNUAL,0,0.19047619047619047,642,2012,3,30,56336.0,1
29.0,100000.0,M,M,500004.0,1.0,TYPE-B,56.0,2.0,ANNUAL,0,0.1999984000127999,1820,2009,1,7,112504.0,0
64.0,103204.92,M,M,1999992.0,2.0,TYPE-A,40.0,1.0,QUARTERLY,3,0.05160266641066564,251,2013,4,25,80520.0,0
12.0,100000.8,S,M,150000.0,1.0,TYPE-B,33.0,0.0,MONTHLY,1,0.666672,2169,2008,1,24,66264.0,1
12.0,100000.0,M,M,900000.0,2.0,TYPE-B,53.0,3.0,ANNUAL,0,0.1111111111111111,572,2012,6,8,106636.0,1
22.0,103090.02,Unknown,M,1500000.0,1.0,TYPE-A,48.0,0.0,ANNUAL,2,0.06872668,218,2013,5,28,96624.0,0
12.0,300000.0,Unknown,F,399996.0,1.0,TYPE-B,58.0,0.0,ANNUAL,1,0.7500075000750007,397,2012,11,30,116696.0,0
42.0,100000.0,M,M,800004.0,1.0,TYPE-B,52.0,2.0,ANNUAL,1,0.12499937500312498,1265,2010,7,16,104520.0,0
54.0,200355.42,M,M,510000.0,1.0,TYPE-A,51.0,1.0,ANNUAL,1,0.3928537647058824,285,2013,3,22,102663.0,0
17.0,247279.92,M,M,900000.0,2.0,TYPE-A,48.0,3.0,MONTHLY,3,0.27475546666666667,321,2013,2,14,96624.0,0
20.0,120000.0,M,F,300000.0,1.0,TYPE-B,65.0,1.0,MONTHLY,3,0.4,1540,2009,10,14,130585.0,0
22.0,130000.0,S,M,399996.0,1.0,TYPE-B,25.0,0.0,ANNUAL,0,0.3250032500325003,1464,2009,12,29,50225.0,1
97.0,103090.73,Unknown,F,1899996.0,2.0,TYPE-A,33.0,0.0,ANNUAL,3,0.05425839317556458,276,2013,3,31,66429.0,0
12.0,100000.0,S,M,399996.0,1.0,TYPE-B,23.0,0.0,ANNUAL,0,0.25000250002500024,1927,2008,9,22,46184.0,0
12.0,200001.6,S,M,450000.0,2.0,TYPE-B,24.0,0.0,MONTHLY,1,0.444448,680,2012,2,21,48288.0,0
57.0,100003.15,M,M,499992.0,2.0,TYPE-A,47.0,3.0,ANNUAL,0,0.20000950015200242,93,2013,9,30,94611.0,0
12.0,100000.0,Unknown,Unknown,549996.0,1.0,TYPE-B,55.0,1.0,ANNUAL,1,0.1818195041418483,1524,2009,10,30,110495.0,0
12.0,100000.0,S,M,594996.0,1.0,TYPE-B,23.0,0.0,SEMI-ANNUAL,2,0.16806835676206228,1945,2008,9,4,46184.0,1
9.0,120011.88,S,F,300000.0,1.0,TYPE-B,27.0,0.0,MONTHLY,1,0.4000396,1806,2009,1,21,54243.0,1
53.0,100000.0,M,M,699996.0,1.0,TYPE-B,41.0,1.0,ANNUAL,1,0.1428579591883382,1211,2010,9,8,82410.0,0
22.0,154635.08,M,M,5354412.0,2.0,TYPE-A,47.0,2.0,ANNUAL,0,0.028879936769901155,369,2012,12,28,94564.0,0
17.0,103469.72,D,M,399996.0,2.0,TYPE-A,61.0,0.0,ANNUAL,1,0.2586768867688677,187,2013,6,28,122793.0,0
9.0,100000.0,S,M,350004.0,1.0,TYPE-B,21.0,0.0,SEMI-ANNUAL,0,0.28571102044548063,1507,2009,11,16,42189.0,1
27.0,150000.0,Unknown,Unknown,549996.0,1.0,TYPE-B,52.0,0.0,ANNUAL,0,0.27272925621277244,1372,2010,3,31,104520.0,0
17.0,100000.81,M,M,249996.0,5.0,TYPE-B,33.0,1.0,ANNUAL,1,0.40000964015424245,1685,2009,5,22,66297.0,1
17.0,150000.21,M,F,999996.0,2.0,TYPE-A,51.0,1.0,ANNUAL,0,0.15000081000324,33,2013,11,29,102663.0,0
78.0,449999.9,Unknown,M,900000.0,1.0,TYPE-A,50.0,0.0,ANNUAL,3,0.4999998888888889,133,2013,8,21,100650.0,0
26.0,200000.0,M,M,549996.0,6.0,TYPE-B,68.0,1.0,SEMI-ANNUAL,3,0.3636390082836966,1286,2010,6,25,136680.0,0
17.0,125000.0,Unknown,Unknown,549996.0,1.0,TYPE-B,42.0,0.0,ANNUAL,1,0.2272743801773104,1925,2008,9,24,84336.0,0
12.0,200000.0,M,F,330000.0,1.0,TYPE-B,29.0,2.0,ANNUAL,0,0.6060606060606061,1219,2010,8,31,58290.0,0
12.0,100000.0,Unknown,F,549996.0,1.0,TYPE-B,40.0,0.0,ANNUAL,2,0.1818195041418483,1160,2010,10,29,80400.0,1
27.0,100000.0,M,F,350004.0,1.0,TYPE-B,24.0,3.0,ANNUAL,1,0.28571102044548063,1232,2010,8,18,48240.0,1
22.0,120000.96,M,M,612996.0,2.0,TYPE-B,47.0,3.0,MONTHLY,1,0.19576140790478241,567,2012,6,13,94564.0,0
22.0,100000.42,S,F,300000.0,2.0,TYPE-A,25.0,0.0,ANNUAL,2,0.33333473333333336,400,2012,11,27,50300.0,0
17.0,100000.0,S,M,300000.0,1.0,TYPE-B,25.0,0.0,QUARTERLY,0,0.3333333333333333,1377,2010,3,26,50250.0,0
41.0,100000.0,M,F,5499996.0,1.0,TYPE-B,53.0,1.0,ANNUAL,2,0.018181831404968294,1268,2010,7,13,106530.0,0
27.0,417700.06,M,M,799992.0,1.0,TYPE-A,54.0,3.0,ANNUAL,3,0.522130296302963,348,2013,1,18,108702.0,0
9.0,100000.0,Unknown,Unknown,549996.0,1.0,TYPE-B,50.0,0.0,ANNUAL,0,0.1818195041418483,1769,2009,2,27,100450.0,0
9.0,150001.2,S,M,500004.0,1.0,TYPE-B,23.0,0.0,MONTHLY,0,0.30000000000000004,1822,2009,1,5,46207.0,1
12.0,250000.0,M,F,713496.0,1.0,TYPE-B,44.0,1.0,ANNUAL,1,0.3503873882965006,674,2012,2,27,88528.0,1
12.0,100100.0,M,F,500004.0,1.0,TYPE-B,42.0,1.0,ANNUAL,3,0.2001983984128127,1048,2011,2,18,84462.0,1
17.0,100000.0,Unknown,Unknown,549996.0,1.0,TYPE-B,26.0,0.0,ANNUAL,1,0.1818195041418483,1982,2008,7,29,52208.0,1
32.0,103090.02,Unknown,M,300000.0,2.0,TYPE-A,34.0,1.0,ANNUAL,1,0.34363340000000003,128,2013,8,26,68442.0,0
22.0,100000.0,M,F,549996.0,6.0,TYPE-B,72.0,2.0,SEMI-ANNUAL,2,0.1818195041418483,1275,2010,7,6,144720.0,0
67.0,199997.44,M,M,999996.0,1.0,TYPE-A,37.0,3.0,SEMI-ANNUAL,1,0.19999823999296,943,2011,6,3,74407.0,1
85.0,105000.16,Unknown,M,999996.0,2.0,TYPE-A,57.0,0.0,ANNUAL,2,0.10500058000232002,674,2012,2,27,114684.0,1
32.0,242412.72,Unknown,M,120000.0,4.0,TYPE-A,41.0,1.0,MONTHLY,1,2.020106,187,2013,6,28,82533.0,1
41.0,120000.0,M,F,1200000.0,1.0,TYPE-B,54.0,3.0,MONTHLY,0,0.1,1297,2010,6,14,108540.0,0
17.0,111703.38,Unknown,M,300000.0,1.0,TYPE-A,71.0,1.0,ANNUAL,3,0.3723446,276,2013,3,31,142923.0,0
12.0,100000.0,M,F,135096.0,1.0,TYPE-B,39.0,1.0,ANNUAL,0,0.7402143660804169,2382,2007,6,25,78273.0,0
27.0,110000.0,Unknown,Unknown,549996.0,1.0,TYPE-B,72.0,0.0,SEMI-ANNUAL,3,0.20000145455603313,1219,2010,8,31,144720.0,1
63.0,101592.24,M,F,1200000.0,1.0,TYPE-A,41.0,1.0,ANNUAL,1,0.0846602,887,2011,7,29,82451.0,0
17.0,100000.0,M,M,290004.0,1.0,TYPE-B,44.0,1.0,SEMI-ANNUAL,0,0.34482283002993064,1899,2008,10,20,88352.0,0
9.0,100000.0,M,M,549996.0,5.0,TYPE-B,64.0,2.0,ANNUAL,0,0.1818195041418483,1433,2010,1,29,128640.0,0
17.0,100000.0,M,F,249996.0,1.0,TYPE-B,57.0,2.0,SEMI-ANNUAL,2,0.4000064001024016,1372,2010,3,31,114570.0,0
12.0,149999.99,M,M,849996.0,1.0,TYPE-B,58.0,2.0,ANNUAL,2,0.17647140692426788,1007,2011,3,31,116638.0,1
37.0,100514.18,S,M,424992.0,1.0,TYPE-A,26.0,0.0,ANNUAL,0,0.23650840486409155,1017,2011,3,21,52286.0,0
17.0,125000.0,M,M,549996.0,6.0,TYPE-A,64.0,1.0,ANNUAL,1,0.2272743801773104,321,2013,2,14,128832.0,0
