MEMBERSHIP_TERM_YEARS,ANNUAL_FEES,MEMBER_ANNUAL_INCOME,MEMBER_OCCUPATION_CD,MEMBER_AGE_AT_ISSUE,ADDITIONAL_MEMBERS,AGENT_PERFORMANCE,INCOME_TO_FEE_RATIO,DAYS_STAY,START_YEAR,START_MONTH,START_DAY,START_YEAR_AGE_COMBINED,MEMBER_MARITAL_STATUS_embed_dim_0,MEMBER_MARITAL_STATUS_embed_dim_1,MEMBER_MARITAL_STATUS_embed_dim_2,MEMBER_GENDER_embed_dim_0,MEMBER_GENDER_embed_dim_1,MEMBERSHIP_PACKAGE_embed_dim_0,MEMBERSHIP_PACKAGE_embed_dim_1,PAYMENT_MODE_embed_dim_0,PAYMENT_MODE_embed_dim_1,PAYMENT_MODE_embed_dim_2
27.0,100000.02,399996.0,1.0,53.0,0.0,0,0.25000255002550026,397,2012,11,30,106636.0,0.10369337,-0.9288311,-0.015264446,-0.6122077,-0.4184213,-0.54616356,-0.21557568,-1.0827601,2.725196,0.9714355
17.0,100000.0,549996.0,1.0,38.0,0.0,0,0.1818195041418483,2070,2008,5,2,76304.0,0.10369337,-0.9288311,-0.015264446,-0.29536033,1.0824445,0.45833537,0.9619635,-1.0827601,2.725196,0.9714355
19.0,100000.0,549996.0,6.0,76.0,1.0,2,0.1818195041418483,1406,2010,2,25,152760.0,-0.44509146,1.5352405,-0.8534257,-0.6122077,-0.4184213,0.45833537,0.9619635,-2.023991,-1.4594462,0.6250562
22.0,101201.45,800004.0,1.0,52.0,2.0,0,0.12650117999410002,1958,2008,8,22,104416.0,-0.44509146,1.5352405,-0.8534257,-0.6122077,-0.4184213,0.45833537,0.9619635,-2.023991,-1.4594462,0.6250562
56.0,319565.33,2199996.0,1.0,49.0,1.0,2,0.1452572322858769,350,2013,1,16,98637.0,-0.44509146,1.5352405,-0.8534257,-0.6122077,-0.4184213,-0.54616356,-0.21557568,-2.023991,-1.4594462,0.6250562
38.0,100000.8,699996.0,1.0,46.0,1.0,1,0.14285910205201172,1923,2008,9,26,92368.0,-0.44509146,1.5352405,-0.8534257,-0.6122077,-0.4184213,0.45833537,0.9619635,0.7439208,0.82596856,-0.5151279
27.0,199999.0,900000.0,1.0,40.0,1.0,0,0.22222111111111112,1377,2010,3,26,80400.0,-0.44509146,1.5352405,-0.8534257,-0.6122077,-0.4184213,0.45833537,0.9619635,-2.023991,-1.4594462,0.6250562
49.0,199999.0,5000004.0,1.0,36.0,1.0,1,0.0399997680001856,2133,2008,2,29,72288.0,-0.44509146,1.5352405,-0.8534257,1.1197833,-0.9323207,0.45833537,0.9619635,-2.023991,-1.4594462,0.6250562
12.0,100000.0,300000.0,2.0,51.0,0.0,1,0.3333333333333333,338,2013,1,28,102663.0,-1.3853498,0.17453381,-1.4956062,1.1197833,-0.9323207,0.45833537,0.9619635,-2.023991,-1.4594462,0.6250562
12.0,100000.0,289992.0,1.0,38.0,1.0,1,0.3448370989544539,642,2012,3,30,76456.0,-0.44509146,1.5352405,-0.8534257,1.1197833,-0.9323207,0.45833537,0.9619635,-2.023991,-1.4594462,0.6250562
54.0,1000000.0,2300004.0,1.0,41.0,3.0,3,0.43478185255329993,1391,2010,3,12,82410.0,-0.44509146,1.5352405,-0.8534257,-0.6122077,-0.4184213,0.45833537,0.9619635,-2.023991,-1.4594462,0.6250562
50.0,139999.57,199992.0,1.0,55.0,2.0,2,0.7000258510340414,337,2013,1,29,110715.0,-0.44509146,1.5352405,-0.8534257,-0.6122077,-0.4184213,-0.54616356,-0.21557568,-2.023991,-1.4594462,0.6250562
12.0,1000000.0,3235752.0,2.0,55.0,1.0,1,0.3090471704877259,277,2013,3,30,110715.0,-0.44509146,1.5352405,-0.8534257,-0.6122077,-0.4184213,0.45833537,0.9619635,-2.023991,-1.4594462,0.6250562
17.0,125465.64,249996.0,2.0,53.0,1.0,3,0.5018705899294389,289,2013,3,18,106689.0,-0.44509146,1.5352405,-0.8534257,1.1197833,-0.9323207,-0.54616356,-0.21557568,0.7439208,0.82596856,-0.5151279
31.0,100000.0,399996.0,1.0,63.0,2.0,2,0.25000250002500024,1233,2010,8,17,126630.0,-0.44509146,1.5352405,-0.8534257,-0.6122077,-0.4184213,0.45833537,0.9619635,-2.023991,-1.4594462,0.6250562
17.0,190067.64,499992.0,1.0,23.0,0.0,3,0.38014136226179623,307,2013,2,28,46299.0,-1.3853498,0.17453381,-1.4956062,1.1197833,-0.9323207,-0.54616356,-0.21557568,0.7439208,0.82596856,-0.5151279
50.0,100000.0,399996.0,1.0,44.0,1.0,0,0.25000250002500024,1283,2010,6,28,88440.0,-0.44509146,1.5352405,-0.8534257,-0.6122077,-0.4184213,0.45833537,0.9619635,-2.023991,-1.4594462,0.6250562
44.0,500000.0,999996.0,1.0,50.0,0.0,2,0.500002000008,1225,2010,8,25,100500.0,-1.3853498,0.17453381,-1.4956062,-0.6122077,-0.4184213,0.45833537,0.9619635,-2.023991,-1.4594462,0.6250562
22.0,200000.0,999996.0,1.0,62.0,1.0,3,0.2000008000032,1511,2009,11,12,124558.0,-0.44509146,1.5352405,-0.8534257,-0.6122077,-0.4184213,0.45833537,0.9619635,1.0033257,-0.5032684,-0.40938094
71.0,100000.0,549996.0,1.0,60.0,0.0,2,0.1818195041418483,1220,2010,8,30,120600.0,0.10369337,-0.9288311,-0.015264446,-0.29536033,1.0824445,0.45833537,0.9619635,-2.023991,-1.4594462,0.6250562
17.0,124117.44,300000.0,1.0,51.0,3.0,3,0.4137248,520,2012,7,30,102612.0,-0.44509146,1.5352405,-0.8534257,1.1197833,-0.9323207,-0.54616356,-0.21557568,0.7439208,0.82596856,-0.5151279
27.0,100000.0,399996.0,1.0,38.0,3.0,1,0.25000250002500024,1416,2010,2,15,76380.0,-0.44509146,1.5352405,-0.8534257,-0.6122077,-0.4184213,0.45833537,0.9619635,-2.023991,-1.4594462,0.6250562
59.0,104799.6,594996.0,1.0,45.0,1.0,2,0.1761349656132142,1118,2010,12,10,90450.0,-0.44509146,1.5352405,-0.8534257,-0.6122077,-0.4184213,-0.54616356,-0.21557568,-2.023991,-1.4594462,0.6250562
12.0,500000.0,1500000.0,2.0,61.0,0.0,1,0.3333333333333333,581,2012,5,30,122732.0,0.10369337,-0.9288311,-0.015264446,-0.6122077,-0.4184213,0.45833537,0.9619635,-2.023991,-1.4594462,0.6250562
17.0,261116.88,1999992.0,1.0,57.0,1.0,3,0.13055896223584895,366,2012,12,31,114684.0,-0.44509146,1.5352405,-0.8534257,-0.6122077,-0.4184213,-0.54616356,-0.21557568,0.7439208,0.82596856,-0.5151279
17.0,160001.06,1500000.0,1.0,58.0,1.0,3,0.10666737333333333,342,2013,1,24,116754.0,-0.44509146,1.5352405,-0.8534257,-0.6122077,-0.4184213,-0.54616356,-0.21557568,-1.0827601,2.725196,0.9714355
17.0,104401.56,549996.0,4.0,64.0,3.0,3,0.18982239870835424,296,2013,3,11,128832.0,-0.44509146,1.5352405,-0.8534257,1.1197833,-0.9323207,-0.54616356,-0.21557568,1.0033257,-0.5032684,-0.40938094
20.0,112500.0,1500000.0,1.0,65.0,3.0,0,0.075,1625,2009,7,21,130585.0,-0.44509146,1.5352405,-0.8534257,-0.6122077,-0.4184213,0.45833537,0.9619635,-2.023991,-1.4594462,0.6250562
17.0,100514.06,549996.0,1.0,65.0,0.0,1,0.1827541654848399,1136,2010,11,22,130650.0,0.10369337,-0.9288311,-0.015264446,-0.6122077,-0.4184213,-0.54616356,-0.21557568,-1.0827601,2.725196,0.9714355
44.0,200000.0,474996.0,1.0,51.0,3.0,1,0.4210561773151774,1372,2010,3,31,102510.0,-0.44509146,1.5352405,-0.8534257,-0.6122077,-0.4184213,0.45833537,0.9619635,-1.0827601,2.725196,0.9714355
29.0,120000.0,300000.0,1.0,56.0,1.0,1,0.4,2163,2008,1,30,112448.0,-0.44509146,1.5352405,-0.8534257,1.1197833,-0.9323207,0.45833537,0.9619635,1.0033257,-0.5032684,-0.40938094
27.0,151000.16,499992.0,2.0,51.0,0.0,3,0.30200515208243334,156,2013,7,29,102663.0,0.10369337,-0.9288311,-0.015264446,1.1197833,-0.9323207,-0.54616356,-0.21557568,-2.023991,-1.4594462,0.6250562
37.0,150000.0,549996.0,4.0,58.0,3.0,1,0.27272925621277244,1378,2010,3,25,116580.0,-0.44509146,1.5352405,-0.8534257,1.1197833,-0.9323207,0.45833537,0.9619635,-1.0827601,2.725196,0.9714355
12.0,499000.04,414396.0,1.0,49.0,2.0,2,1.2041622988638887,733,2011,12,30,98539.0,-0.44509146,1.5352405,-0.8534257,1.1197833,-0.9323207,0.45833537,0.9619635,-2.023991,-1.4594462,0.6250562
27.0,100000.0,300000.0,1.0,58.0,2.0,0,0.3333333333333333,1798,2009,1,29,116522.0,-0.44509146,1.5352405,-0.8534257,-0.6122077,-0.4184213,0.45833537,0.9619635,-2.023991,-1.4594462,0.6250562
12.0,100000.0,500004.0,1.0,60.0,0.0,1,0.1999984000127999,1328,2010,5,14,120600.0,-1.3853498,0.17453381,-1.4956062,1.1197833,-0.9323207,0.45833537,0.9619635,-2.023991,-1.4594462,0.6250562
102.0,205317.26,999996.0,2.0,27.0,0.0,0,0.2053180812723251,527,2012,7,23,54324.0,0.10369337,-0.9288311,-0.015264446,-0.6122077,-0.4184213,-0.54616356,-0.21557568,-2.023991,-1.4594462,0.6250562
12.0,100000.0,200004.0,1.0,20.0,0.0,1,0.499990000199996,1737,2009,3,31,40180.0,-1.3853498,0.17453381,-1.4956062,-0.6122077,-0.4184213,0.45833537,0.9619635,-1.0827601,2.725196,0.9714355
27.0,107098.66,499992.0,2.0,39.0,2.0,0,0.2142007472119554,282,2013,3,25,78507.0,-0.44509146,1.5352405,-0.8534257,-0.6122077,-0.4184213,-0.54616356,-0.21557568,-1.0827601,2.725196,0.9714355
30.0,504004.08,3000000.0,1.0,55.0,1.0,3,0.16800136000000002,1749,2009,3,19,110495.0,-0.44509146,1.5352405,-0.8534257,-0.6122077,-0.4184213,0.45833537,0.9619635,0.7439208,0.82596856,-0.5151279
32.0,120000.0,399996.0,1.0,62.0,3.0,1,0.3000030000300003,1384,2010,3,19,124620.0,-0.44509146,1.5352405,-0.8534257,1.1197833,-0.9323207,0.45833537,0.9619635,-1.0827601,2.725196,0.9714355
49.0,100000.0,3999996.0,1.0,45.0,3.0,1,0.025000025000025,1251,2010,7,30,90450.0,-0.44509146,1.5352405,-0.8534257,-0.6122077,-0.4184213,0.45833537,0.9619635,-2.023991,-1.4594462,0.6250562
12.0,100000.0,999996.0,5.0,56.0,1.0,0,0.1000004000016,1840,2008,12,18,112448.0,-0.44509146,1.5352405,-0.8534257,-0.6122077,-0.4184213,0.45833537,0.9619635,-2.023991,-1.4594462,0.6250562
17.0,118196.68,1200000.0,2.0,79.0,2.0,2,0.09849723333333332,436,2012,10,22,158948.0,0.10369337,-0.9288311,-0.015264446,-0.6122077,-0.4184213,-0.54616356,-0.21557568,1.0033257,-0.5032684,-0.40938094
21.0,500000.0,2499996.0,1.0,74.0,2.0,2,0.200000320000512,1359,2010,4,13,148740.0,-0.44509146,1.5352405,-0.8534257,-0.6122077,-0.4184213,0.45833537,0.9619635,-2.023991,-1.4594462,0.6250562
19.0,150000.0,549996.0,6.0,75.0,0.0,3,0.27272925621277244,1223,2010,8,27,150750.0,0.27973944,0.539785,0.28578463,1.1197833,-0.9323207,0.45833537,0.9619635,-2.023991,-1.4594462,0.6250562
63.0,101003.5,1774512.0,2.0,41.0,1.0,2,0.056919029006284545,34,2013,11,28,82533.0,-0.44509146,1.5352405,-0.8534257,-0.6122077,-0.4184213,-0.54616356,-0.21557568,-2.023991,-1.4594462,0.6250562
12.0,100000.0,750000.0,1.0,38.0,3.0,1,0.13333333333333333,1135,2010,11,23,76380.0,-0.44509146,1.5352405,-0.8534257,-0.6122077,-0.4184213,0.45833537,0.9619635,-1.0827601,2.725196,0.9714355
17.0,132503.64,499992.0,2.0,60.0,1.0,1,0.265011520184323,345,2013,1,21,120780.0,-0.44509146,1.5352405,-0.8534257,-0.6122077,-0.4184213,-0.54616356,-0.21557568,0.7439208,0.82596856,-0.5151279
12.0,100000.0,549996.0,1.0,75.0,0.0,0,0.1818195041418483,1829,2008,12,29,150600.0,0.10369337,-0.9288311,-0.015264446,-0.29536033,1.0824445,0.45833537,0.9619635,-1.0827601,2.725196,0.9714355
22.0,103090.03,600000.0,1.0,28.0,1.0,1,0.17181671666666667,307,2013,2,28,56364.0,-0.44509146,1.5352405,-0.8534257,1.1197833,-0.9323207,-0.54616356,-0.21557568,-2.023991,-1.4594462,0.6250562
49.0,100000.0,600000.0,1.0,35.0,1.0,1,0.16666666666666666,2011,2008,6,30,70280.0,-0.44509146,1.5352405,-0.8534257,-0.6122077,-0.4184213,0.45833537,0.9619635,-2.023991,-1.4594462,0.6250562
102.0,183208.63,2400000.0,1.0,34.0,0.0,0,0.07633692916666666,217,2013,5,29,68442.0,0.10369337,-0.9288311,-0.015264446,-0.6122077,-0.4184213,-0.54616356,-0.21557568,-2.023991,-1.4594462,0.6250562
58.0,149999.87,2499996.0,1.0,47.0,3.0,1,0.0600000440000704,715,2012,1,17,94564.0,-0.44509146,1.5352405,-0.8534257,-0.6122077,-0.4184213,-0.54616356,-0.21557568,-2.023991,-1.4594462,0.6250562
26.0,125000.0,549996.0,4.0,59.0,1.0,2,0.2272743801773104,1638,2009,7,8,118531.0,-0.44509146,1.5352405,-0.8534257,1.1197833,-0.9323207,0.45833537,0.9619635,-2.023991,-1.4594462,0.6250562
43.0,1500000.0,549996.0,1.0,51.0,3.0,1,2.7272925621277246,2133,2008,2,29,102408.0,0.10369337,-0.9288311,-0.015264446,-0.29536033,1.0824445,0.45833537,0.9619635,-2.023991,-1.4594462,0.6250562
12.0,200000.0,549996.0,6.0,62.0,2.0,0,0.3636390082836966,737,2011,12,26,124682.0,0.10369337,-0.9288311,-0.015264446,-0.6122077,-0.4184213,0.45833537,0.9619635,-2.023991,-1.4594462,0.6250562
22.0,103200.6,199992.0,2.0,28.0,1.0,1,0.5160236409456379,93,2013,9,30,56364.0,-0.44509146,1.5352405,-0.8534257,-0.6122077,-0.4184213,-0.54616356,-0.21557568,-1.0827601,2.725196,0.9714355
26.0,125000.0,549996.0,4.0,59.0,3.0,2,0.2272743801773104,1603,2009,8,12,118531.0,-0.44509146,1.5352405,-0.8534257,1.1197833,-0.9323207,0.45833537,0.9619635,-2.023991,-1.4594462,0.6250562
69.0,100010.0,699996.0,1.0,24.0,0.0,0,0.14287224498425705,1360,2010,4,12,48240.0,-1.3853498,0.17453381,-1.4956062,-0.6122077,-0.4184213,0.45833537,0.9619635,-2.023991,-1.4594462,0.6250562
18.0,100000.0,549996.0,4.0,76.0,0.0,3,0.1818195041418483,1223,2010,8,27,152760.0,0.27973944,0.539785,0.28578463,1.1197833,-0.9323207,0.45833537,0.9619635,-2.023991,-1.4594462,0.6250562
17.0,111337.2,549996.0,6.0,64.0,2.0,1,0.20243274496541794,113,2013,9,10,128832.0,-0.44509146,1.5352405,-0.8534257,-0.6122077,-0.4184213,-0.54616356,-0.21557568,0.7439208,0.82596856,-0.5151279
17.0,300000.0,549996.0,1.0,61.0,0.0,1,0.5454585124255449,1896,2008,10,23,122488.0,0.10369337,-0.9288311,-0.015264446,-0.29536033,1.0824445,0.45833537,0.9619635,-2.023991,-1.4594462,0.6250562
38.0,150000.0,549996.0,4.0,57.0,2.0,3,0.27272925621277244,1444,2010,1,18,114570.0,-0.44509146,1.5352405,-0.8534257,1.1197833,-0.9323207,0.45833537,0.9619635,-2.023991,-1.4594462,0.6250562
22.0,100000.42,699996.0,1.0,46.0,3.0,3,0.14285855919176682,133,2013,8,21,92598.0,-0.44509146,1.5352405,-0.8534257,-0.6122077,-0.4184213,-0.54616356,-0.21557568,-1.0827601,2.725196,0.9714355
12.0,120000.96,275004.0,1.0,29.0,1.0,0,0.4363607802068334,1966,2008,8,14,58232.0,-0.44509146,1.5352405,-0.8534257,-0.6122077,-0.4184213,0.45833537,0.9619635,0.7439208,0.82596856,-0.5151279
27.0,100000.0,549996.0,1.0,55.0,0.0,3,0.1818195041418483,1414,2010,2,17,110550.0,0.10369337,-0.9288311,-0.015264446,-0.29536033,1.0824445,0.45833537,0.9619635,-1.0827601,2.725196,0.9714355
43.0,150000.0,500004.0,1.0,52.0,1.0,1,0.29999760001919984,1372,2010,3,31,104520.0,-0.44509146,1.5352405,-0.8534257,-0.6122077,-0.4184213,0.45833537,0.9619635,-2.023991,-1.4594462,0.6250562
17.0,126756.17,999996.0,1.0,57.0,2.0,3,0.1267566770267081,51,2013,11,11,114741.0,-0.44509146,1.5352405,-0.8534257,-0.6122077,-0.4184213,-0.54616356,-0.21557568,-2.023991,-1.4594462,0.6250562
32.0,100000.0,174996.0,1.0,53.0,2.0,0,0.5714416329516103,1821,2009,1,6,106477.0,-0.44509146,1.5352405,-0.8534257,-0.6122077,-0.4184213,0.45833537,0.9619635,-2.023991,-1.4594462,0.6250562
12.0,102000.72,300000.0,1.0,25.0,1.0,1,0.3400024,1097,2010,12,31,50250.0,-0.44509146,1.5352405,-0.8534257,-0.6122077,-0.4184213,0.45833537,0.9619635,0.7439208,0.82596856,-0.5151279
39.0,300000.0,549996.0,4.0,46.0,1.0,3,0.5454585124255449,1567,2009,9,17,92414.0,-0.44509146,1.5352405,-0.8534257,1.1197833,-0.9323207,0.45833537,0.9619635,-2.023991,-1.4594462,0.6250562
12.0,300000.0,1200000.0,1.0,36.0,1.0,0,0.25,1076,2011,1,21,72396.0,-0.44509146,1.5352405,-0.8534257,-0.6122077,-0.4184213,0.45833537,0.9619635,-2.023991,-1.4594462,0.6250562
12.0,200000.0,549996.0,6.0,63.0,2.0,0,0.3636390082836966,331,2013,2,4,126819.0,0.10369337,-0.9288311,-0.015264446,-0.6122077,-0.4184213,0.45833537,0.9619635,-2.023991,-1.4594462,0.6250562
22.0,100000.0,300000.0,1.0,46.0,2.0,0,0.3333333333333333,1363,2010,4,9,92460.0,-0.44509146,1.5352405,-0.8534257,1.1197833,-0.9323207,0.45833537,0.9619635,-2.023991,-1.4594462,0.6250562
12.0,100000.0,549996.0,4.0,35.0,2.0,1,0.1818195041418483,1911,2008,10,8,70280.0,-0.44509146,1.5352405,-0.8534257,1.1197833,-0.9323207,0.45833537,0.9619635,-2.023991,-1.4594462,0.6250562
31.0,100000.0,270000.0,1.0,53.0,1.0,3,0.37037037037037035,1527,2009,10,27,106477.0,-0.44509146,1.5352405,-0.8534257,-0.6122077,-0.4184213,0.45833537,0.9619635,-1.0827601,2.725196,0.9714355
22.0,100000.0,1200000.0,1.0,34.0,1.0,1,0.08333333333333333,277,2013,3,30,68442.0,-0.44509146,1.5352405,-0.8534257,-0.6122077,-0.4184213,0.45833537,0.9619635,-1.0827601,2.725196,0.9714355
12.0,100000.0,339996.0,1.0,27.0,3.0,3,0.2941211073071448,1372,2010,3,31,54270.0,-0.44509146,1.5352405,-0.8534257,-0.6122077,-0.4184213,0.45833537,0.9619635,-2.023991,-1.4594462,0.6250562
21.0,375000.0,1200000.0,1.0,64.0,3.0,0,0.3125,1548,2009,10,6,128576.0,-0.44509146,1.5352405,-0.8534257,-0.6122077,-0.4184213,0.45833537,0.9619635,-1.0827601,2.725196,0.9714355
42.0,100000.0,249996.0,1.0,33.0,3.0,2,0.4000064001024016,1987,2008,7,24,66264.0,-0.44509146,1.5352405,-0.8534257,-0.6122077,-0.4184213,0.45833537,0.9619635,-2.023991,-1.4594462,0.6250562
17.0,251798.76,549996.0,1.0,49.0,3.0,0,0.45781925686732267,1294,2010,6,17,98490.0,0.10369337,-0.9288311,-0.015264446,-0.29536033,1.0824445,-0.54616356,-0.21557568,-2.023991,-1.4594462,0.6250562
17.0,143918.88,549996.0,6.0,67.0,1.0,3,0.2616725939825017,348,2013,1,18,134871.0,-0.44509146,1.5352405,-0.8534257,-0.6122077,-0.4184213,-0.54616356,-0.21557568,0.7439208,0.82596856,-0.5151279
42.0,4013256.0,12499992.0,1.0,62.0,2.0,1,0.3210606854788387,1073,2011,1,24,124682.0,-0.44509146,1.5352405,-0.8534257,-0.6122077,-0.4184213,-0.54616356,-0.21557568,-1.0827601,2.725196,0.9714355
17.0,100000.0,300000.0,1.0,21.0,0.0,0,0.3333333333333333,1737,2009,3,31,42189.0,-1.3853498,0.17453381,-1.4956062,-0.6122077,-0.4184213,0.45833537,0.9619635,-2.023991,-1.4594462,0.6250562
32.0,149999.9,300000.0,6.0,77.0,0.0,2,0.4999996666666666,677,2012,2,24,154924.0,0.10369337,-0.9288311,-0.015264446,-0.6122077,-0.4184213,-0.54616356,-0.21557568,-2.023991,-1.4594462,0.6250562
26.0,187500.0,999996.0,1.0,68.0,2.0,1,0.187500750003,1219,2010,8,31,136680.0,-0.44509146,1.5352405,-0.8534257,-0.6122077,-0.4184213,0.45833537,0.9619635,-2.023991,-1.4594462,0.6250562
17.0,186298.32,699996.0,1.0,52.0,2.0,3,0.2661419779541597,85,2013,10,8,104676.0,-0.44509146,1.5352405,-0.8534257,1.1197833,-0.9323207,-0.54616356,-0.21557568,0.7439208,0.82596856,-0.5151279
12.0,100000.0,350004.0,1.0,26.0,3.0,1,0.28571102044548063,1737,2009,3,31,52234.0,-0.44509146,1.5352405,-0.8534257,-0.6122077,-0.4184213,0.45833537,0.9619635,-1.0827601,2.725196,0.9714355
22.0,100000.0,600000.0,1.0,40.0,2.0,0,0.16666666666666666,1454,2010,1,8,80400.0,-0.44509146,1.5352405,-0.8534257,-0.6122077,-0.4184213,0.45833537,0.9619635,-2.023991,-1.4594462,0.6250562
17.0,128500.92,540000.0,1.0,46.0,3.0,3,0.23796466666666666,279,2013,3,28,92598.0,-0.44509146,1.5352405,-0.8534257,1.1197833,-0.9323207,-0.54616356,-0.21557568,0.7439208,0.82596856,-0.5151279
63.0,142310.0,549996.0,6.0,71.0,1.0,2,0.25874733634426433,733,2011,12,30,142781.0,0.10369337,-0.9288311,-0.015264446,-0.6122077,-0.4184213,-0.54616356,-0.21557568,-2.023991,-1.4594462,0.6250562
17.0,175076.74,799992.0,1.0,43.0,2.0,3,0.2188481134811348,260,2013,4,16,86559.0,-0.44509146,1.5352405,-0.8534257,-0.6122077,-0.4184213,-0.54616356,-0.21557568,-1.0827601,2.725196,0.9714355
42.0,200000.0,999996.0,1.0,53.0,3.0,3,0.2000008000032,1251,2010,7,30,106530.0,-0.44509146,1.5352405,-0.8534257,-0.6122077,-0.4184213,0.45833537,0.9619635,-2.023991,-1.4594462,0.6250562
28.0,100000.0,549996.0,6.0,66.0,1.0,1,0.1818195041418483,1219,2010,8,31,132660.0,-0.44509146,1.5352405,-0.8534257,-0.6122077,-0.4184213,0.45833537,0.9619635,-2.023991,-1.4594462,0.6250562
12.0,199938.37,249996.0,1.0,47.0,2.0,0,0.7997662762604202,1027,2011,3,11,94517.0,-0.44509146,1.5352405,-0.8534257,-0.6122077,-0.4184213,-0.54616356,-0.21557568,-2.023991,-1.4594462,0.6250562
17.0,103914.36,600000.0,1.0,63.0,3.0,3,0.1731906,310,2013,2,25,126819.0,-0.44509146,1.5352405,-0.8534257,-0.6122077,-0.4184213,-0.54616356,-0.21557568,0.7439208,0.82596856,-0.5151279
27.0,100000.0,549996.0,1.0,72.0,0.0,3,0.1818195041418483,1414,2010,2,17,144720.0,0.10369337,-0.9288311,-0.015264446,-0.29536033,1.0824445,0.45833537,0.9619635,-2.023991,-1.4594462,0.6250562
17.0,115976.6,399996.0,1.0,43.0,1.0,0,0.28994439944399447,901,2011,7,15,86473.0,-0.44509146,1.5352405,-0.8534257,-0.6122077,-0.4184213,-0.54616356,-0.21557568,-2.023991,-1.4594462,0.6250562
17.0,100000.54,699996.0,1.0,33.0,2.0,3,0.14285873062131782,1168,2010,10,21,66330.0,-0.44509146,1.5352405,-0.8534257,-0.6122077,-0.4184213,-0.54616356,-0.21557568,-2.023991,-1.4594462,0.6250562
22.0,103090.13,311964.0,2.0,41.0,2.0,0,0.3304552127809619,141,2013,8,13,82533.0,-0.44509146,1.5352405,-0.8534257,-0.6122077,-0.4184213,-0.54616356,-0.21557568,-2.023991,-1.4594462,0.6250562
22.0,150099.1,499992.0,1.0,27.0,2.0,1,0.300203003248052,387,2012,12,10,54324.0,-0.44509146,1.5352405,-0.8534257,-0.6122077,-0.4184213,-0.54616356,-0.21557568,-1.0827601,2.725196,0.9714355
17.0,123707.64,300000.0,2.0,42.0,2.0,3,0.4123588,69,2013,10,24,84546.0,-0.44509146,1.5352405,-0.8534257,-0.6122077,-0.4184213,-0.54616356,-0.21557568,0.7439208,0.82596856,-0.5151279
