MEMBERSHIP_TERM_YEARS,ANNUAL_FEES,MEMBER_ANNUAL_INCOME,MEMBER_OCCUPATION_CD,MEMBER_AGE_AT_ISSUE,ADDITIONAL_MEMBERS,AGENT_PERFORMANCE,INCOME_TO_FEE_RATIO,START_YEAR,START_MONTH,START_DAY,MEMBER_MARITAL_STATUS_D,MEMBER_MARITAL_STATUS_M,MEMBER_MARITAL_STATUS_S,MEMBER_MARITAL_STATUS_Unknown,MEMBER_MARITAL_STATUS_W,MEMBER_GENDER_F,MEMBER_GENDER_M,MEMBER_GENDER_Unknown,MEMBERSHIP_PACKAGE_TYPE-A,MEMBERSHIP_PACKAGE_TYPE-B,PAYMENT_MODE_ANNUAL,PAYMENT_MODE_MONTHLY,PAYMENT_MODE_QUARTERLY,PAYMENT_MODE_SEMI-ANNUAL,PAYMENT_MODE_SINGLE-PREMIUM
22.0,103090.03,600000.0,1.0,28.0,1.0,1,0.17181671666666667,2013,2,28,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0
49.0,100000.0,600000.0,1.0,35.0,1.0,1,0.16666666666666666,2008,6,30,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0
102.0,183208.63,2400000.0,1.0,34.0,0.0,0,0.07633692916666666,2013,5,29,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0
58.0,149999.87,2499996.0,1.0,47.0,3.0,1,0.0600000440000704,2012,1,17,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0
26.0,125000.0,549996.0,4.0,59.0,1.0,2,0.2272743801773104,2009,7,8,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0
43.0,1500000.0,549996.0,1.0,51.0,3.0,1,2.7272925621277246,2008,2,29,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0
12.0,200000.0,549996.0,6.0,62.0,2.0,0,0.3636390082836966,2011,12,26,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0
22.0,103200.6,199992.0,2.0,28.0,1.0,1,0.5160236409456379,2013,9,30,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0
26.0,125000.0,549996.0,4.0,59.0,3.0,2,0.2272743801773104,2009,8,12,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0
69.0,100010.0,699996.0,1.0,24.0,0.0,0,0.14287224498425705,2010,4,12,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0
18.0,100000.0,549996.0,4.0,76.0,0.0,3,0.1818195041418483,2010,8,27,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0
17.0,111337.2,549996.0,6.0,64.0,2.0,1,0.20243274496541794,2013,9,10,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0
17.0,300000.0,549996.0,1.0,61.0,0.0,1,0.5454585124255449,2008,10,23,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0
38.0,150000.0,549996.0,4.0,57.0,2.0,3,0.27272925621277244,2010,1,18,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0
22.0,100000.42,699996.0,1.0,46.0,3.0,3,0.14285855919176682,2013,8,21,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0
12.0,120000.96,275004.0,1.0,29.0,1.0,0,0.4363607802068334,2008,8,14,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0
27.0,100000.0,549996.0,1.0,55.0,0.0,3,0.1818195041418483,2010,2,17,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0
43.0,150000.0,500004.0,1.0,52.0,1.0,1,0.29999760001919984,2010,3,31,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0
17.0,126756.17,999996.0,1.0,57.0,2.0,3,0.1267566770267081,2013,11,11,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0
32.0,100000.0,174996.0,1.0,53.0,2.0,0,0.5714416329516103,2009,1,6,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0
12.0,102000.72,300000.0,1.0,25.0,1.0,1,0.3400024,2010,12,31,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0
39.0,300000.0,549996.0,4.0,46.0,1.0,3,0.5454585124255449,2009,9,17,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0
12.0,300000.0,1200000.0,1.0,36.0,1.0,0,0.25,2011,1,21,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0
12.0,200000.0,549996.0,6.0,63.0,2.0,0,0.3636390082836966,2013,2,4,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0
22.0,100000.0,300000.0,1.0,46.0,2.0,0,0.3333333333333333,2010,4,9,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0
12.0,100000.0,549996.0,4.0,35.0,2.0,1,0.1818195041418483,2008,10,8,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0
31.0,100000.0,270000.0,1.0,53.0,1.0,3,0.37037037037037035,2009,10,27,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0
22.0,100000.0,1200000.0,1.0,34.0,1.0,1,0.08333333333333333,2013,3,30,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0
12.0,100000.0,339996.0,1.0,27.0,3.0,3,0.2941211073071448,2010,3,31,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0
21.0,375000.0,1200000.0,1.0,64.0,3.0,0,0.3125,2009,10,6,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0
42.0,100000.0,249996.0,1.0,33.0,3.0,2,0.4000064001024016,2008,7,24,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0
17.0,251798.76,549996.0,1.0,49.0,3.0,0,0.45781925686732267,2010,6,17,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0
17.0,143918.88,549996.0,6.0,67.0,1.0,3,0.2616725939825017,2013,1,18,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0
42.0,4013256.0,12499992.0,1.0,62.0,2.0,1,0.3210606854788387,2011,1,24,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0
17.0,100000.0,300000.0,1.0,21.0,0.0,0,0.3333333333333333,2009,3,31,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0
32.0,149999.9,300000.0,6.0,77.0,0.0,2,0.4999996666666666,2012,2,24,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0
26.0,187500.0,999996.0,1.0,68.0,2.0,1,0.187500750003,2010,8,31,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0
17.0,186298.32,699996.0,1.0,52.0,2.0,3,0.2661419779541597,2013,10,8,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0
12.0,100000.0,350004.0,1.0,26.0,3.0,1,0.28571102044548063,2009,3,31,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0
22.0,100000.0,600000.0,1.0,40.0,2.0,0,0.16666666666666666,2010,1,8,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0
17.0,128500.92,540000.0,1.0,46.0,3.0,3,0.23796466666666666,2013,3,28,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0
63.0,142310.0,549996.0,6.0,71.0,1.0,2,0.25874733634426433,2011,12,30,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0
17.0,175076.74,799992.0,1.0,43.0,2.0,3,0.2188481134811348,2013,4,16,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0
42.0,200000.0,999996.0,1.0,53.0,3.0,3,0.2000008000032,2010,7,30,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0
28.0,100000.0,549996.0,6.0,66.0,1.0,1,0.1818195041418483,2010,8,31,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0
12.0,199938.37,249996.0,1.0,47.0,2.0,0,0.7997662762604202,2011,3,11,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0
17.0,103914.36,600000.0,1.0,63.0,3.0,3,0.1731906,2013,2,25,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0
27.0,100000.0,549996.0,1.0,72.0,0.0,3,0.1818195041418483,2010,2,17,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0
17.0,115976.6,399996.0,1.0,43.0,1.0,0,0.28994439944399447,2011,7,15,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0
17.0,100000.54,699996.0,1.0,33.0,2.0,3,0.14285873062131782,2010,10,21,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0
22.0,103090.13,311964.0,2.0,41.0,2.0,0,0.3304552127809619,2013,8,13,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0
22.0,150099.1,499992.0,1.0,27.0,2.0,1,0.300203003248052,2012,12,10,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0
17.0,123707.64,300000.0,2.0,42.0,2.0,3,0.4123588,2013,10,24,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0
12.0,210000.0,549996.0,1.0,62.0,0.0,3,0.38182095869788146,2011,3,15,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0
12.0,115281.36,314616.0,1.0,26.0,3.0,3,0.36641925394766955,2009,12,31,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0
17.0,199867.0,549996.0,6.0,86.0,1.0,3,0.36339718834318796,2013,3,31,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0
22.0,100000.0,750000.0,1.0,46.0,3.0,1,0.13333333333333333,2010,5,28,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0
100.0,106891.22,300000.0,2.0,34.0,0.0,0,0.3563040666666667,2012,12,31,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0
12.0,120000.84,279996.0,1.0,56.0,0.0,0,0.42858055115073074,2011,3,31,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0
12.0,126001.2,300000.0,1.0,47.0,1.0,0,0.420004,2009,2,16,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0
17.0,100000.0,420000.0,1.0,34.0,2.0,1,0.23809523809523808,2008,3,18,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0
22.0,100005.0,1200000.0,1.0,34.0,0.0,1,0.0833375,2008,6,30,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0
75.0,199019.47,549996.0,6.0,73.0,1.0,1,0.36185621349973457,2011,2,16,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0
87.0,125999.89,300000.0,2.0,39.0,0.0,3,0.41999963333333334,2012,12,28,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0
17.0,106002.96,1599996.0,1.0,59.0,3.0,3,0.06625201563003907,2013,10,17,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0
12.0,192308.0,889992.0,1.0,58.0,0.0,1,0.21607834677165638,2011,5,30,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0
12.0,150000.0,499992.0,2.0,35.0,3.0,3,0.30000480007680125,2012,3,26,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0
44.0,720005.76,3000000.0,1.0,41.0,3.0,0,0.24000192,2009,2,24,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0
12.0,100000.0,609996.0,2.0,25.0,0.0,2,0.1639355012164014,2012,1,27,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0
17.0,100000.0,549996.0,1.0,50.0,0.0,1,0.1818195041418483,2008,11,19,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0
12.0,120000.96,699996.0,2.0,33.0,0.0,0,0.1714309224624141,2012,2,29,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0
47.0,300000.0,800004.0,1.0,47.0,2.0,2,0.37499812500937496,2010,8,31,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0
32.0,181231.92,549996.0,2.0,29.0,0.0,1,0.3295149782907512,2012,2,23,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0
17.0,201248.17,780000.0,1.0,53.0,1.0,0,0.2580104743589744,2013,2,28,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0
27.0,100000.0,600000.0,1.0,27.0,1.0,0,0.16666666666666666,2010,3,18,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0
49.0,108000.06,499992.0,1.0,55.0,3.0,0,0.2160035760572169,2011,11,15,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0
17.0,100000.0,549996.0,1.0,56.0,0.0,1,0.1818195041418483,2008,11,18,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0
44.0,100000.0,279996.0,1.0,40.0,3.0,0,0.3571479592565608,2008,7,25,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
41.0,100000.0,420000.0,1.0,44.0,1.0,1,0.23809523809523808,2008,1,31,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0
12.0,100000.8,300000.0,1.0,28.0,0.0,0,0.333336,2008,7,15,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0
93.0,102999.94,600000.0,1.0,49.0,0.0,0,0.17166656666666666,2013,5,31,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0
97.0,104190.3,600000.0,2.0,27.0,0.0,2,0.1736505,2011,12,30,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0
27.0,106827.64,399996.0,2.0,34.0,1.0,0,0.26707177071770716,2013,11,6,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0
17.0,100000.8,350004.0,1.0,33.0,3.0,0,0.2857133061336442,2008,6,25,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0
38.0,100000.0,800004.0,1.0,47.0,1.0,3,0.12499937500312498,2009,8,26,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0
12.0,100000.0,549996.0,6.0,70.0,2.0,1,0.1818195041418483,2011,3,21,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0
12.0,100000.8,450000.0,2.0,28.0,3.0,1,0.222224,2012,7,30,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0
87.0,100481.1,549996.0,1.0,45.0,0.0,1,0.18269423777627475,2011,2,16,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0
12.0,350000.0,549996.0,1.0,25.0,0.0,3,0.6363682644964691,2013,3,13,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0
12.0,230769.04,750000.0,1.0,60.0,3.0,3,0.3076920533333333,2011,4,18,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0
17.0,126340.5,600000.0,1.0,59.0,3.0,3,0.2105675,2013,4,29,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0
17.0,120639.6,999996.0,1.0,42.0,0.0,2,0.12064008256033025,2013,7,31,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0
9.0,100000.0,549996.0,1.0,50.0,0.0,0,0.1818195041418483,2009,2,27,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0
12.0,500000.0,279996.0,2.0,30.0,2.0,0,1.785739796282804,2013,3,31,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0
63.0,150004.81,1200000.0,2.0,42.0,1.0,1,0.12500400833333333,2012,3,30,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0
12.0,511000.0,1700004.0,1.0,30.0,0.0,1,0.3005875280293458,2008,1,31,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0
17.0,100000.0,549996.0,1.0,47.0,1.0,1,0.1818195041418483,2009,8,13,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0
17.0,111703.38,549996.0,6.0,66.0,0.0,3,0.20309853162568456,2013,2,18,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0
12.0,100000.0,450000.0,2.0,35.0,0.0,1,0.2222222222222222,2012,3,30,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0
50.0,150000.0,800004.0,1.0,45.0,3.0,3,0.18749906250468748,2010,5,28,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0
17.0,309242.76,3499992.0,1.0,56.0,3.0,3,0.08835527624063141,2013,7,26,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0
28.0,120000.0,549996.0,6.0,67.0,3.0,1,0.21818340497021796,2010,1,12,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0
22.0,100000.0,399996.0,1.0,42.0,3.0,0,0.25000250002500024,2008,12,29,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0
17.0,100000.0,300000.0,1.0,47.0,3.0,0,0.3333333333333333,2009,6,26,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0
86.0,300000.14,2100000.0,5.0,47.0,0.0,2,0.14285720952380954,2013,3,19,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0
22.0,309282.0,549996.0,6.0,70.0,2.0,3,0.5623349987999913,2013,11,11,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0
75.0,100000.43,900000.0,2.0,56.0,1.0,2,0.11111158888888888,2013,5,30,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0
41.0,150000.0,540000.0,1.0,44.0,2.0,1,0.2777777777777778,2008,8,25,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
64.0,120000.0,549996.0,1.0,26.0,3.0,3,0.21818340497021796,2010,6,3,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0
12.0,100000.0,339996.0,2.0,42.0,3.0,2,0.2941211073071448,2012,3,26,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0
22.0,123999.6,600000.0,1.0,69.0,3.0,3,0.20666600000000002,2013,6,28,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0
17.0,120000.0,549996.0,1.0,60.0,0.0,3,0.21818340497021796,2010,3,31,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0
12.0,100000.0,549996.0,1.0,38.0,0.0,1,0.1818195041418483,2010,2,26,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0
76.0,121966.92,450000.0,1.0,27.0,0.0,0,0.2710376,2013,2,28,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0
12.0,100000.42,399996.0,1.0,62.0,3.0,0,0.25000355003550034,2011,9,19,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0
26.0,125000.0,549996.0,4.0,59.0,3.0,2,0.2272743801773104,2009,6,26,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0
12.0,500000.0,999996.0,2.0,57.0,0.0,2,0.500002000008,2012,2,29,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0
